DIN-Bahnhof|||||||4.33|4.48|5.03|5.18|5.33|5.48||6.03||6.18||6.33||6.48||7.03||7.18||7.33||7.48||8.03||8.18||8.33||8.48||9.03||9.18||9.33||9.48||10.03||10.18||10.33||10.48||11.03||11.18||11.33||11.48||12.03||12.18||12.33||12.48||13.03||13.18||13.33||13.48||14.03||14.18||14.33||14.48||15.03||15.18||15.33||15.48||16.03||16.18||16.33||16.48||17.03||17.18||17.33||17.48||18.03||18.18||18.33||18.48||19.03||19.18||19.33||19.47|19.52||||20.22||20.52|21.22|21.52|22.22|22.52|23.22|23.52|0.22|
Platanenhof|||21|36|51|06|21|36|51|06|21|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|19.59|06|20.14|21|20.29|20.34|39|20.44|20.50|21.05|09|21.28|39|09|39|09|39|0.09|0.39||
Brückenplatz|||22|37|52|07|22|37|52|07|22|37|45|52|7.00|07|15|22|30|37|45|52|8.00|07|15|22|30|37|45|52|9.00|07|15|22|30|37|45|52|10.00|07|15|22|30|37|45|52|11.00|07|15|22|30|37|45|52|12.00|07|15|22|30|37|45|52|13.00|07|15|22|30|37|45|52|14.00|07|15|22|30|37|45|52|15.00|07|15|22|30|37|45|52|16.00|07|15|22|30|37|45|52|17.00|07|15|22|30|37|45|52|18.00|07|15|22|30|37|45|52|19.00|07|15|22|30|37|45|52||07||22|||40||||10||40|10|40|10|40||||
Siechenhausstraße|||23|38|53|08|23|38|53|08|23|38|46|53|7.01|08|16|23|31|38|46|53|8.01|08|16|23|31|38|46|53|9.01|08|16|23|31|38|46|53|10.01|08|16|23|31|38|46|53|11.01|08|16|23|31|38|46|53|12.01|08|16|23|31|38|46|53|13.01|08|16|23|31|38|46|53|14.01|08|16|23|31|38|46|53|15.01|08|16|23|31|38|46|53|16.01|08|16|23|31|38|46|53|17.01|08|16|23|31|38|46|53|18.01|08|16|23|31|38|46|53|19.01|08|16|23|31|38|46|53||08||23|||41||||11||41|11|41|11|41||||
Pauluskirche|||24|39|54|09|24|39|54|09|24|39|47|54|7.02|09|17|24|32|39|47|54|8.02|09|17|24|32|39|47|54|9.02|09|17|24|32|39|47|54|10.02|09|17|24|32|39|47|54|11.02|09|17|24|32|39|47|54|12.02|09|17|24|32|39|47|54|13.02|09|17|24|32|39|47|54|14.02|09|17|24|32|39|47|54|15.02|09|17|24|32|39|47|54|16.02|09|17|24|32|39|47|54|17.02|09|17|24|32|39|47|54|18.02|09|17|24|32|39|47|54|19.02|09|17|24|32|39|47|54||09||24|||42||||12||42|12|42|12|42||||
Marienhospital|||26|41|56|11|26|41|56|11|26|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56||11||26|||44||||14||44|14|44|14|44||||
Hochfeld Süd Bf|||27|42|57|12|27|42|57|12|27|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57||12||27|||45||||15||45|15|45|15|45||||
Fischerstraße|3.59|4.14|29|44|59|14|29|44|59|14|29|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59||14||29|||47||||17||47|17|47|17|47||||
Rheintörchenstraße|4.00|15|30|45|5.00|15|30|45|6.00|15|30|45|6.53|7.00|7.08|15|7.23|30|7.38|45|7.53|8.00|8.08|15|8.23|30|8.38|45|8.53|9.00|9.08|15|9.23|30|9.38|45|9.53|10.00|10.08|15|10.23|30|10.38|45|10.53|11.00|11.08|15|11.23|30|11.38|45|11.53|12.00|12.08|15|12.23|30|12.38|45|12.53|13.00|13.08|15|13.23|30|13.38|45|13.53|14.00|14.08|15|14.23|30|14.38|45|14.53|15.00|15.08|15|15.23|30|15.38|45|15.53|16.00|16.08|15|16.23|30|16.38|45|16.53|17.00|17.08|15|17.23|30|17.38|45|17.53|18.00|18.08|15|18.23|30|18.38|45|18.53|19.00|19.08|15|19.23|30|19.38|45|19.53|20.00||15||30|||48||||18||48|18|48|18|48||||
Neuenhofstraße|01|16|31|46|01|16|31|46|01|16|31|46||01||16||31||46||01||16||31||46||01||16||31||46||01||16||31||46||01||16||31||46||01||16||31||46||01||16||31||46||01||16||31||46||01||16||31||46||01||16||31||46||01||16||31||46||01||16||31||46||01||16||31||46||20.01||16||31|||49||||19||49|19|49|19|49||||
Ehinger Straße|03|18|33|48|03|18|33|48|03|18|33|48||03||18||33||48||03||18||33||48||03||18||33||48||03||18||33||48||03||18||33||48||03||18||33||48||03||18||33||48||03||18||33||48||03||18||33||48||03||18||33||48||03||18||33||48||03||18||33||48||03||18||33||48||03||18||33|||50||||20||50|20|50|20|50||||
Heiligenbaumstraße|04|19|34|49|04|19|34|49|04|19|34|49||04||19||34||49||04||19||34||49||04||19||34||49||04||19||34||49||04||19||34||49||04||19||34||49||04||19||34||49||04||19||34||49||04||19||34||49||04||19||34||49||04||19||34||49||04||19||34||49||04||19||34||49||04||19||34|||51||||21||51|21|51|21|51||||
Rheinstahl|5|20|35|50|5|20|35|50|5|20|35|50||5||20||35||50||5||20||35||50||5||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35|||52||||22||52|22|52|22|52||||
Berzelius|06|21|36|51|06|21|36|51|06|21|36|51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36||51||06||21||36|||53||||23||53|23|53|23|53||||
Mannesmann Tor 1|7|22|37|52|7|22|37|52|7|22|37|52||7||22||37||52||7||22||37||52||7||22||37||52||7||22||37||52||7||22||37||52||7||22||37||52||7||22||37||52||7||22||37||52||7||22||37||52||7||22||37||52||7||22||37||52||7||22||37||52||7||22||37||52||7||22||37|||54||||24||54|24|54|24|54||||
Mannesmann Tor 2|4.10|4.25|4.40|4.55|5.10|5.25|5.40|5.55|6.10|6.25|6.40|6.55||7.10||7.25||7.40||7.55||8.10||8.25||8.40||8.55||9.10||9.25||9.40||9.55||10.10||10.25||10.40||10.55||11.10||11.25||11.40||11.55||12.10||12.25||12.40||12.55||13.10||13.25||13.40||13.55||14.10||14.25||14.40||14.55||15.10||15.25||15.40||15.55||16.10||16.25||16.40||16.55||17.10||17.25||17.40||17.55||18.10||18.25||18.40||18.55||19.10||19.25||19.40||19.55||20.10||20.25||20.40|||20.57||||21.27||21.57|22.27|22.57|23.27|23.57||||
